H काल काल NP NNP NP k7t VGF में ; H चुना चुन VGF VM VGF NULL ROOT NULL ; R ; k7t 
H उपकरण उपकरण NP NN NP7 k1s VGF2 NULL ; H हैं है VGF VM VGF2 ccof CCP NULL ; R ; k1s 
H कि कि CCP CC CCP k2 VGF NULL ; H हैं है VGF VM VGF2 ccof CCP NULL ; L ; ccof 
H कहा कह VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H चिदंबरम चिदंबरम NP NNP NP k1 VGF ने  ;  H भाषण भाषण NP NN NP4 k7 VGF में  ;  U ;  NULL
H चिदंबरम चिदंबरम NP NNP NP k1 VGF ने  ;  H बृहस्पतिवार बृहस्पतिवार NP NNP NP2 k7t VGF को  ;  U ;  NULL
H बृहस्पतिवार बृहस्पतिवार NP NNP NP2 k7t VGF को  ;  H अपने अपना NP PRP NP3 r6 NP4 NULL  ;  U ;  NULL
H अपने अपना NP PRP NP3 r6 NP4 NULL  ;  H कहा कह VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H और और CCP CC CCP2 k1 VGF2 NULL  ;  H उपकरण उपकरण NP NN NP7 k1s VGF2 NULL  ;  U ;  NULL
H विनिवेश विनिवेश NP NN NP5 ccof CCP2 NULL  ;  H हैं है VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
H निजीकरण निजीकरण NP NN NP6 ccof CCP2 NULL  ;  H हैं है VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
H हैं है VGF VM VGF2 ccof CCP NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H उपकरण उपकरण NP NN NP7 k1s VGF2 NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H चिदंबरम चिदंबरम NP NNP NP k1 VGF ने  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H बृहस्पतिवार बृहस्पतिवार NP NNP NP2 k7t VGF को  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H हैं है VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
ROOT  ;  H उपकरण उपकरण NP NN NP7 k1s VGF2 NULL  ;  U ;  NULL
ROOT  ;  H चिदंबरम चिदंबरम NP NNP NP k1 VGF ने  ;  U ;  NULL
ROOT  ;  H बृहस्पतिवार बृहस्पतिवार NP NNP NP2 k7t VGF को  ;  U ;  NULL
H उन्होंने वह NP PRP NP k1 VGF NULL ; H कहा कह VGF VM VGF NULL ROOT NULL ; R ; k1 
ROOT ; H कहा कह VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H कहा कह VGF VM VGF NULL ROOT NULL ; H कि कि CCP CC CCP k2 VGF NULL ; L ; k2 
H अपनी अपना NP PRP NP2 r6 NP3 NULL ; H नीतियों नीति NP NN NP3 k7a VGF2 के ; R ; r6 
H नीतियों नीति NP NN NP3 k7a VGF2 के ; H करेंगे कर VGF VM VGF2 ccof CCP NULL ; R ; k7a 
H वह वह NP PRP NP4 k1 VGF2 NULL ; H करेंगे कर VGF VM VGF2 ccof CCP NULL ; R ; k1 
H स्थितियों स्थिति NP NN NP5 k7 VGF2 में ; H करेंगे कर VGF VM VGF2 ccof CCP NULL ; R ; k7 
H उपकरण उपकरण NP NN NP6 r6-k2 NP7 का ; H उपयोग उपयोग NP NN NP7 pof VGF2 NULL ; R ; r6-k2 
H उपयोग उपयोग NP NN NP7 pof VGF2 NULL ; H करेंगे कर VGF VM VGF2 ccof CCP NULL ; R ; pof 
H कि कि CCP CC CCP k2 VGF NULL ; H करेंगे कर VGF VM VGF2 ccof CCP NULL ; L ; ccof 
H कहा कह VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H नीतियों नीति NP NN NP3 k7a VGF2 के  ;  H उपयोग उपयोग NP NN NP7 pof VGF2 NULL  ;  U ;  NULL
H नीतियों नीति NP NN NP3 k7a VGF2 के  ;  H वह वह NP PRP NP4 k1 VGF2 NULL  ;  U ;  NULL
H वह वह NP PRP NP4 k1 VGF2 NULL  ;  H उपयोग उपयोग NP NN NP7 pof VGF2 NULL  ;  U ;  NULL
H वह वह NP PRP NP4 k1 VGF2 NULL  ;  H स्थितियों स्थिति NP NN NP5 k7 VGF2 में  ;  U ;  NULL
H स्थितियों स्थिति NP NN NP5 k7 VGF2 में  ;  H उपकरण उपकरण NP NN NP6 r6-k2 NP7 का  ;  U ;  NULL
H अपनी अपना NP PRP NP2 r6 NP3 NULL  ;  H करेंगे कर VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
H उपकरण उपकरण NP NN NP6 r6-k2 NP7 का  ;  H करेंगे कर VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
H करेंगे कर VGF VM VGF2 ccof CCP NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H उपयोग उपयोग NP NN NP7 pof VGF2 NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H उन्होंने वह NP PRP NP k1 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H कि कि CCP CC CCP k2 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H करेंगे कर VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
ROOT  ;  H उपयोग उपयोग NP NN NP7 pof VGF2 NULL  ;  U ;  NULL
ROOT  ;  H उन्होंने वह NP PRP NP k1 VGF NULL  ;  U ;  NULL
ROOT  ;  H कि कि CCP CC CCP k2 VGF NULL  ;  U ;  NULL
H सलाहों सलाह NP NN NP k7 VGF में ; H खुले खुल VGF VM VGF NULL ROOT NULL ; R ; k7 
H हालात हालात NP NN NP2 r6 NP3 के ; H आधार आधार NP NN NP3 k7 VGF पर ; R ; r6 
H आधार आधार NP NN NP3 k7 VGF पर ; H खुले खुल VGF VM VGF NULL ROOT NULL ; R ; k7 
H विनिवेश विनिवेश NP NN NP4 ccof CCP NULL ; H या या CCP CC CCP k2 VGF NULL ; R ; ccof 
H बंदी बंदी NP NN NP5 ccof CCP NULL ; H या या CCP CC CCP k2 VGF NULL ; R ; ccof 
H या या CCP CC CCP k2 VGF NULL ; H खुले खुल VGF VM VGF NULL ROOT NULL ; R ; k2 
H बिक्री बिक्री NP NN NP6 r6 NP7 के ; H विकल्प विकल्प NP NN NP7 ccof CCP NULL ; R ; r6 
H या या CCP CC CCP k2 VGF NULL ; H विकल्प विकल्प NP NN NP7 ccof CCP NULL ; L ; ccof 
ROOT ; H खुले खुल VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H खुले खुल VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H सलाहों सलाह NP NN NP k7 VGF में  ;  H विकल्प विकल्प NP NN NP7 ccof CCP NULL  ;  U ;  NULL
H सलाहों सलाह NP NN NP k7 VGF में  ;  H हालात हालात NP NN NP2 r6 NP3 के  ;  U ;  NULL
H आधार आधार NP NN NP3 k7 VGF पर  ;  H विकल्प विकल्प NP NN NP7 ccof CCP NULL  ;  U ;  NULL
H आधार आधार NP NN NP3 k7 VGF पर  ;  H विनिवेश विनिवेश NP NN NP4 ccof CCP NULL  ;  U ;  NULL
H विनिवेश विनिवेश NP NN NP4 ccof CCP NULL  ;  H बंदी बंदी NP NN NP5 ccof CCP NULL  ;  U ;  NULL
H या या CCP CC CCP k2 VGF NULL  ;  H बिक्री बिक्री NP NN NP6 r6 NP7 के  ;  U ;  NULL
H विकल्प विकल्प NP NN NP7 ccof CCP NULL  ;  H खुले खुल VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H बिक्री बिक्री NP NN NP6 r6 NP7 के  ;  H खुले खुल VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H हालात हालात NP NN NP2 r6 NP3 के  ;  H खुले खुल VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H विनिवेश विनिवेश NP NN NP4 ccof CCP NULL  ;  H खुले खुल VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H विकल्प विकल्प NP NN NP7 ccof CCP NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H बिक्री बिक्री NP NN NP6 r6 NP7 के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H सलाहों सलाह NP NN NP k7 VGF में  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H हालात हालात NP NN NP2 r6 NP3 के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H विकल्प विकल्प NP NN NP7 ccof CCP NULL  ;  U ;  NULL
ROOT  ;  H बिक्री बिक्री NP NN NP6 r6 NP7 के  ;  U ;  NULL
ROOT  ;  H सलाहों सलाह NP NN NP k7 VGF में  ;  U ;  NULL
ROOT  ;  H हालात हालात NP NN NP2 r6 NP3 के  ;  U ;  NULL
H साल साल NP NN NP k7t VGF NULL ; H कहा कह VGF VM VGF NULL ROOT NULL ; R ; k7t 
H निजीकरण निजीकरण NP NN NP2 k7 VGF पर ; H कहा कह VGF VM VGF NULL ROOT NULL ; R ; k7 
H मंत्री मंत्री NP NNP NP3 k1 VGF ने ; H कहा कह VGF VM VGF NULL ROOT NULL ; R ; k1 
ROOT ; H कहा कह VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H कहा कह VGF VM VGF NULL ROOT NULL ; H कि कि CCP CC CCP k2 VGF NULL ; L ; k2 
H पहले पहले NP NST NP4 k7t VGF2 NULL ; H है है VGF VM VGF2 ccof CCP NULL ; R ; k7t 
H सेबी सेबी NP NNP NP5 r6 NP6 की ; H रेख रेख NP NN NP6 k7 VGF2 में ; R ; r6 
H रेख रेख NP NN NP6 k7 VGF2 में ; H है है VGF VM VGF2 ccof CCP NULL ; R ; k7 
H सरकार सरकार NP NN NP7 r6 NP8 की ; H निगाह निगाह NP NN NP8 k1 VGF2 NULL ; R ; r6 
H निगाह निगाह NP NN NP8 k1 VGF2 NULL ; H है है VGF VM VGF2 ccof CCP NULL ; R ; k1 
H फिलहाल फिलहाल RBP RB RBP adv VGF2 NULL ; H है है VGF VM VGF2 ccof CCP NULL ; R ; adv 
H एनटीपीसी एनटीपीसी NP NNP NP9 r6 NP10 के ; H शेयरों शेयर NP NN NP10 r6 NP11 की ; R ; r6 
H शेयरों शेयर NP NN NP10 r6 NP11 की ; H बिक्री बिक्री NP NN NP11 r6 NP12 के ; R ; r6 
H बिक्री बिक्री NP NN NP11 r6 NP12 के ; H लक्ष्य लक्ष्य NP NN NP12 k7 VGF2 पर ; R ; r6 
H लक्ष्य लक्ष्य NP NN NP12 k7 VGF2 पर ; H है है VGF VM VGF2 ccof CCP NULL ; R ; k7 
H कि कि CCP CC CCP k2 VGF NULL ; H है है VGF VM VGF2 ccof CCP NULL ; L ; ccof 
H कहा कह VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H साल साल NP NN NP k7t VGF NULL  ;  H निजीकरण निजीकरण NP NN NP2 k7 VGF पर  ;  U ;  NULL
H निजीकरण निजीकरण NP NN NP2 k7 VGF पर  ;  H मंत्री मंत्री NP NNP NP3 k1 VGF ने  ;  U ;  NULL
H पहले पहले NP NST NP4 k7t VGF2 NULL  ;  H लक्ष्य लक्ष्य NP NN NP12 k7 VGF2 पर  ;  U ;  NULL
H पहले पहले NP NST NP4 k7t VGF2 NULL  ;  H सेबी सेबी NP NNP NP5 r6 NP6 की  ;  U ;  NULL
H रेख रेख NP NN NP6 k7 VGF2 में  ;  H लक्ष्य लक्ष्य NP NN NP12 k7 VGF2 पर  ;  U ;  NULL
H रेख रेख NP NN NP6 k7 VGF2 में  ;  H सरकार सरकार NP NN NP7 r6 NP8 की  ;  U ;  NULL
H निगाह निगाह NP NN NP8 k1 VGF2 NULL  ;  H लक्ष्य लक्ष्य NP NN NP12 k7 VGF2 पर  ;  U ;  NULL
H निगाह निगाह NP NN NP8 k1 VGF2 NULL  ;  H फिलहाल फिलहाल RBP RB RBP adv VGF2 NULL  ;  U ;  NULL
H फिलहाल फिलहाल RBP RB RBP adv VGF2 NULL  ;  H लक्ष्य लक्ष्य NP NN NP12 k7 VGF2 पर  ;  U ;  NULL
H फिलहाल फिलहाल RBP RB RBP adv VGF2 NULL  ;  H एनटीपीसी एनटीपीसी NP NNP NP9 r6 NP10 के  ;  U ;  NULL
H बिक्री बिक्री NP NN NP11 r6 NP12 के  ;  H है है VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
H शेयरों शेयर NP NN NP10 r6 NP11 की  ;  H है है VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
H है है VGF VM VGF2 ccof CCP NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H लक्ष्य लक्ष्य NP NN NP12 k7 VGF2 पर  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H साल साल NP NN NP k7t VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H निजीकरण निजीकरण NP NN NP2 k7 VGF पर  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H है है VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
ROOT  ;  H लक्ष्य लक्ष्य NP NN NP12 k7 VGF2 पर  ;  U ;  NULL
ROOT  ;  H साल साल NP NN NP k7t VGF NULL  ;  U ;  NULL
ROOT  ;  H निजीकरण निजीकरण NP NN NP2 k7 VGF पर  ;  U ;  NULL
H सरकार सरकार NP NN NP r6 NP2 के ; H हिस्से हिस्सा NP NN NP2 r6 NP3 के ; R ; r6 
H हिस्से हिस्सा NP NN NP2 r6 NP3 के ; H शेयरों शेयर NP NN NP3 r6 NP4 की ; R ; r6 
H शेयरों शेयर NP NN NP3 r6 NP4 की ; H कीमत कीमत NP NN NP4 k2 VGNN NULL ; R ; r6 
H कीमत कीमत NP NN NP4 k2 VGNN NULL ; H वसूलने वसूल VGNN VM VGNN ccof CCP NULL ; R ; k2 
H वसूलने वसूल VGNN VM VGNN ccof CCP NULL ; H और और CCP CC CCP rt VGF NULL ; R ; ccof 
H और और CCP CC CCP rt VGF NULL ; H कर कर VGF VM VGF NULL ROOT NULL ; R ; rt 
H मंदी मंदी NP NN NP5 r6 NP6 के ; H असर असर NP NN NP6 k2 VGNN2 को ; R ; r6 
H असर असर NP NN NP6 k2 VGNN2 को ; H करने कर VGNN VM VGNN2 ccof CCP के ; R ; k2 
H कम कम JJP QF JJP pof VGNN2 NULL ; H करने कर VGNN VM VGNN2 ccof CCP के ; R ; pof 
H और और CCP CC CCP rt VGF NULL ; H करने कर VGNN VM VGNN2 ccof CCP के ; L ; ccof 
H सरकार सरकार NP NN NP7 k1 VGF NULL ; H कर कर VGF VM VGF NULL ROOT NULL ; R ; k1 
H एनटीपीसी एनटीपीसी NP NNP NP8 r6 NP9 के ; H इश्यू इश्यू NP NN NP9 k7 VGNF पर ; R ; r6 
H इश्यू इश्यू NP NN NP9 k7 VGNF पर ; H बनाए बना VGNF VM VGNF vmod VGF NULL ; R ; k7 
H अपनी अपना NP PRP NP10 r6 NP11 NULL ; H पकड़ पकड NP NN NP11 k2 VGNF NULL ; R ; r6 
H पकड़ पकड NP NN NP11 k2 VGNF NULL ; H बनाए बना VGNF VM VGNF vmod VGF NULL ; R ; k2 
H बनाए बना VGNF VM VGNF vmod VGF NULL ; H कर कर VGF VM VGF NULL ROOT NULL ; R ; vmod 
H अपने अपना NP PRP NP12 r6 NP13 NULL ; H शेयरों शेयर NP NN NP13 r6 NP14 का ; R ; r6 
H शेयरों शेयर NP NN NP13 r6 NP14 का ; H फीसदी फीसदी NP NN NP14 k2 VGF NULL ; R ; r6 
H फीसदी फीसदी NP NN NP14 k2 VGF NULL ; H कर कर VGF VM VGF NULL ROOT NULL ; R ; k2 
H विनिवेश विनिवेश NP NN NP15 pof VGF NULL ; H कर कर VGF VM VGF NULL ROOT NULL ; R ; pof 
ROOT ; H कर कर VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H कर कर VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H और और CCP CC CCP rt VGF NULL  ;  H विनिवेश विनिवेश NP NN NP15 pof VGF NULL  ;  U ;  NULL
H और और CCP CC CCP rt VGF NULL  ;  H मंदी मंदी NP NN NP5 r6 NP6 के  ;  U ;  NULL
H असर असर NP NN NP6 k2 VGNN2 को  ;  H कम कम JJP QF JJP pof VGNN2 NULL  ;  U ;  NULL
H मंदी मंदी NP NN NP5 r6 NP6 के  ;  H करने कर VGNN VM VGNN2 ccof CCP के  ;  U ;  NULL
H सरकार सरकार NP NN NP7 k1 VGF NULL  ;  H विनिवेश विनिवेश NP NN NP15 pof VGF NULL  ;  U ;  NULL
H सरकार सरकार NP NN NP7 k1 VGF NULL  ;  H एनटीपीसी एनटीपीसी NP NNP NP8 r6 NP9 के  ;  U ;  NULL
H इश्यू इश्यू NP NN NP9 k7 VGNF पर  ;  H अपनी अपना NP PRP NP10 r6 NP11 NULL  ;  U ;  NULL
H बनाए बना VGNF VM VGNF vmod VGF NULL  ;  H विनिवेश विनिवेश NP NN NP15 pof VGF NULL  ;  U ;  NULL
H बनाए बना VGNF VM VGNF vmod VGF NULL  ;  H अपने अपना NP PRP NP12 r6 NP13 NULL  ;  U ;  NULL
H फीसदी फीसदी NP NN NP14 k2 VGF NULL  ;  H विनिवेश विनिवेश NP NN NP15 pof VGF NULL  ;  U ;  NULL
H शेयरों शेयर NP NN NP13 r6 NP14 का  ;  H कर कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H अपने अपना NP PRP NP12 r6 NP13 NULL  ;  H कर कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H सरकार सरकार NP NN NP r6 NP2 के  ;  H कर कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H हिस्से हिस्सा NP NN NP2 r6 NP3 के  ;  H कर कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H विनिवेश विनिवेश NP NN NP15 pof VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H फीसदी फीसदी NP NN NP14 k2 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H सरकार सरकार NP NN NP r6 NP2 के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H हिस्से हिस्सा NP NN NP2 r6 NP3 के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H विनिवेश विनिवेश NP NN NP15 pof VGF NULL  ;  U ;  NULL
ROOT  ;  H फीसदी फीसदी NP NN NP14 k2 VGF NULL  ;  U ;  NULL
ROOT  ;  H सरकार सरकार NP NN NP r6 NP2 के  ;  U ;  NULL
ROOT  ;  H हिस्से हिस्सा NP NN NP2 r6 NP3 के  ;  U ;  NULL
H चिदंबरम चिदंबरम NP NNP NP k1 VGF ने ; H कहा कह VGF VM VGF NULL ROOT NULL ; R ; k1 
ROOT ; H कहा कह VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H कहा कह VGF VM VGF NULL ROOT NULL ; H कि कि CCP CC CCP k2 VGF NULL ; L ; k2 
H वर्ष वर्ष NP NN NP2 k7t VGF2 में ; H हैं है VGF VM VGF2 nmod__relc NP5 NULL ; R ; k7t 
H ये यह NP PRP NP3 ccof CCP2 NULL ; H और और CCP CC CCP2 k1 VGF2 NULL ; R ; ccof 
H और और CCP CC CCP2 k1 VGF2 NULL ; H हैं है VGF VM VGF2 nmod__relc NP5 NULL ; R ; k1 
H और और CCP CC CCP2 k1 VGF2 NULL ; H मामले मामला NP NN NP4 ccof CCP2 NULL ; L ; ccof 
H विचाराधीन विचाराधीन JJP JJ JJP k1s VGF2 NULL ; H हैं है VGF VM VGF2 nmod__relc NP5 NULL ; R ; k1s 
H हैं है VGF VM VGF2 nmod__relc NP5 NULL ; H उनसे वह NP PRP NP5 k5 VGF3 NULL ; R ; nmod__relc 
H उनसे वह NP PRP NP5 k5 VGF3 NULL ; H है है VGF VM VGF3 ccof CCP NULL ; R ; k5 
H रुपये रुपया NP NN NP6 r6 NP7 की ; H उगाही उगाही NP NN NP7 r6 NP8 की ; R ; r6 
H उगाही उगाही NP NN NP7 r6 NP8 की ; H उम्मीद उम्मीद NP NN NP8 k1 VGF3 NULL ; R ; r6 
H उम्मीद उम्मीद NP NN NP8 k1 VGF3 NULL ; H है है VGF VM VGF3 ccof CCP NULL ; R ; k1 
